Sample	Tissue	Donor	Gender
GTEX.144GN.0726.SM.5O98O	Visceral	GTEX.144GN	Male
GTEX.144GO.1626.SM.7EPG5	Subcutaneous	GTEX.144GO	Male
GTEX.145LS.0226.SM.5O9A5	Subcutaneous	GTEX.145LS	Female
GTEX.145LT.1526.SM.5O98P	Visceral	GTEX.145LT	Male
GTEX.145LT.1826.SM.5QGP4	Subcutaneous	GTEX.145LT	Male
GTEX.145LU.1226.SM.5LU9B	Visceral	GTEX.145LU	Male
GTEX.145LV.1026.SM.5O9AE	Visceral	GTEX.145LV	Male
GTEX.145ME.0726.SM.5O9A3	Visceral	GTEX.145ME	Female
GTEX.145ME.1926.SM.5MR6T	Subcutaneous	GTEX.145ME	Female
GTEX.145MF.0526.SM.5LUA6	Subcutaneous	GTEX.145MF	Male
GTEX.145MF.1026.SM.5Q5EQ	Visceral	GTEX.145MF	Male
GTEX.145MG.0126.SM.5TDDA	Subcutaneous	GTEX.145MG	Male
GTEX.145MI.0426.SM.5O99V	Subcutaneous	GTEX.145MI	Female
GTEX.145MI.0826.SM.5SI95	Visceral	GTEX.145MI	Female
GTEX.145MN.2626.SM.5NQAH	Subcutaneous	GTEX.145MN	Male
GTEX.145MO.0426.SM.5QGP6	Subcutaneous	GTEX.145MO	Male
GTEX.146FH.0226.SM.5QGPQ	Subcutaneous	GTEX.146FH	Female
GTEX.146FH.2026.SM.5SI9I	Visceral	GTEX.146FH	Female
GTEX.146FQ.0226.SM.5NQAL	Subcutaneous	GTEX.146FQ	Male
GTEX.146FR.0226.SM.5Q5F6	Visceral	GTEX.146FR	Female
GTEX.146FR.1826.SM.5QGPF	Subcutaneous	GTEX.146FR	Female
GTEX.14753.0326.SM.5QGQB	Subcutaneous	GTEX.14753	Male
GTEX.14753.2526.SM.5LU97	Visceral	GTEX.14753	Male
GTEX.147F3.0626.SM.5NQ9I	Subcutaneous	GTEX.147F3	Female
GTEX.147GR.0426.SM.5S2OL	Subcutaneous	GTEX.147GR	Male
GTEX.147JS.0426.SM.5TDD2	Subcutaneous	GTEX.147JS	Male
GTEX.147JS.1026.SM.5S2MP	Visceral	GTEX.147JS	Male
GTEX.148VI.1726.SM.5S2W9	Subcutaneous	GTEX.148VI	Female
GTEX.1497J.2326.SM.5NQBK	Subcutaneous	GTEX.1497J	Male
GTEX.14A5H.0526.SM.5TDCN	Subcutaneous	GTEX.14A5H	Male
GTEX.14ABY.0326.SM.5TDDK	Subcutaneous	GTEX.14ABY	Male
GTEX.14ABY.1926.SM.62LDJ	Visceral	GTEX.14ABY	Male
GTEX.14AS3.0426.SM.5QGQK	Visceral	GTEX.14AS3	Female
GTEX.14AS3.2026.SM.5TDD9	Subcutaneous	GTEX.14AS3	Female
GTEX.14B4R.0526.SM.5QGQT	Visceral	GTEX.14B4R	Male
GTEX.14BIL.0226.SM.5SI9E	Subcutaneous	GTEX.14BIL	Male
GTEX.14BIL.2426.SM.5QGQR	Visceral	GTEX.14BIL	Male
GTEX.14BIM.1626.SM.7EWD2	Visceral	GTEX.14BIM	Female
GTEX.14BIN.0726.SM.793DQ	Subcutaneous	GTEX.14BIN	Female
GTEX.14BIN.1226.SM.5S2OM	Visceral	GTEX.14BIN	Female
GTEX.14BMU.0626.SM.73KZ6	Visceral	GTEX.14BMU	Female
GTEX.14BMU.2126.SM.5S2TS	Subcutaneous	GTEX.14BMU	Female
GTEX.14BMV.0226.SM.5S2N2	Subcutaneous	GTEX.14BMV	Male
GTEX.14BMV.1626.SM.73KVQ	Visceral	GTEX.14BMV	Male
GTEX.14C38.1026.SM.73KY7	Visceral	GTEX.14C38	Male
GTEX.14C39.0826.SM.5TDDU	Visceral	GTEX.14C39	Male
GTEX.14C39.2526.SM.5S2UH	Subcutaneous	GTEX.14C39	Male
GTEX.14C5O.0226.SM.5SI6O	Subcutaneous	GTEX.14C5O	Male
GTEX.14C5O.0926.SM.793DM	Visceral	GTEX.14C5O	Male
GTEX.14DAQ.0226.SM.664MQ	Subcutaneous	GTEX.14DAQ	Female
GTEX.14DAQ.2526.SM.5RQIO	Visceral	GTEX.14DAQ	Female
GTEX.14DAR.0426.SM.664MW	Visceral	GTEX.14DAR	Male
GTEX.14DAR.1926.SM.5S2NQ	Subcutaneous	GTEX.14DAR	Male
GTEX.14E1K.0426.SM.5S2PF	Visceral	GTEX.14E1K	Male
GTEX.14E1K.2126.SM.793DU	Subcutaneous	GTEX.14E1K	Male
GTEX.14E6C.0226.SM.5S2N3	Subcutaneous	GTEX.14E6C	Male
GTEX.14E6C.1226.SM.5ZZUN	Visceral	GTEX.14E6C	Male
GTEX.14E6D.0226.SM.62LDW	Subcutaneous	GTEX.14E6D	Male
GTEX.14E6D.1326.SM.62LES	Visceral	GTEX.14E6D	Male
GTEX.14E6E.0226.SM.7DUEF	Visceral	GTEX.14E6E	Male
GTEX.14E6E.1926.SM.664N4	Subcutaneous	GTEX.14E6E	Male
GTEX.14E7W.2326.SM.69LQC	Visceral	GTEX.14E7W	Male
GTEX.14H4A.1026.SM.62LDY	Subcutaneous	GTEX.14H4A	Female
GTEX.14ICK.0326.SM.6LLIZ	Subcutaneous	GTEX.14ICK	Male
GTEX.14ICK.1726.SM.6AJA5	Visceral	GTEX.14ICK	Male
GTEX.14ICL.0926.SM.5S2TU	Visceral	GTEX.14ICL	Male
GTEX.14ICL.2026.SM.62LDN	Subcutaneous	GTEX.14ICL	Male
GTEX.14JG1.0526.SM.6LLHW	Subcutaneous	GTEX.14JG1	Male
GTEX.14JG6.0526.SM.6LLIH	Visceral	GTEX.14JG6	Female
GTEX.14JG6.2326.SM.6LLH3	Subcutaneous	GTEX.14JG6	Female
GTEX.14JIY.0526.SM.62LFH	Subcutaneous	GTEX.14JIY	Male
GTEX.14JIY.1426.SM.6EU29	Visceral	GTEX.14JIY	Male
GTEX.14LLW.0226.SM.62LEL	Subcutaneous	GTEX.14LLW	Female
GTEX.14PHW.1626.SM.6EU2H	Visceral	GTEX.14PHW	Female
GTEX.14PHX.1626.SM.69LQB	Visceral	GTEX.14PHX	Male
GTEX.14PHX.2426.SM.62LEN	Subcutaneous	GTEX.14PHX	Male
GTEX.14PHY.1026.SM.62LEV	Visceral	GTEX.14PHY	Female
GTEX.14PII.0326.SM.6LLIQ	Subcutaneous	GTEX.14PII	Male
GTEX.14PJ2.0226.SM.6LLH4	Subcutaneous	GTEX.14PJ2	Male
GTEX.14PJ2.1426.SM.62LFF	Visceral	GTEX.14PJ2	Male
GTEX.14PJ3.0726.SM.69LQE	Visceral	GTEX.14PJ3	Male
GTEX.14PJ3.1926.SM.62LEY	Subcutaneous	GTEX.14PJ3	Male
GTEX.14PJ4.0126.SM.62LEZ	Visceral	GTEX.14PJ4	Male
GTEX.14PJ4.2226.SM.6LLIS	Subcutaneous	GTEX.14PJ4	Male
GTEX.14PJ5.0426.SM.5ZZW2	Visceral	GTEX.14PJ5	Female
